id,questId,character,message,order,orientation,responces
588,30402,jenny,QUEST_30402_DIALOG_03,-1,left,"[""QUEST_30402_DIALOG_03_A1""]"
589,30301,sage,QUEST_30301_DIALOG_01,-2,left,"[""QUEST_30301_DIALOG_01_A1"", ""QUEST_30301_DIALOG_01_A2""]"
590,30301,sage,QUEST_30301_DIALOG_02,-1,left,"[""QUEST_30301_DIALOG_02_A1"", ""QUEST_30301_DIALOG_02_A2""]"
591,30302,sage,QUEST_30302_DIALOG_01,-2,left,"[""QUEST_30302_DIALOG_01_A1"", ""QUEST_30302_DIALOG_01_A2""]"
592,30302,sage,QUEST_30302_DIALOG_02,-1,left,"[""QUEST_30302_DIALOG_02_A1"", ""QUEST_30302_DIALOG_02_A2""]"
593,30601,sage,QUEST_30601_DIALOG_01,-2,left,"[""QUEST_30601_DIALOG_01_A1"", ""QUEST_30601_DIALOG_01_A2""]"
594,30601,sage,QUEST_30601_DIALOG_02,-1,left,"[""QUEST_30601_DIALOG_02_A1"", ""QUEST_30601_DIALOG_02_A2""]"
595,30201,eugene,QUEST_30201_DIALOG_01,-2,left,"[""QUEST_30201_DIALOG_01_A1"", ""QUEST_30201_DIALOG_01_A2""]"
596,30201,eugene,QUEST_30201_DIALOG_02,-1,left,"[""QUEST_30201_DIALOG_02_A1"", ""QUEST_30201_DIALOG_02_A2""]"
597,30501,eugene,QUEST_30501_DIALOG_01,-2,left,"[""QUEST_30501_DIALOG_01_A1"", ""QUEST_30501_DIALOG_01_A2""]"
598,30501,eugene,QUEST_30501_DIALOG_02,-1,left,"[""QUEST_30501_DIALOG_02_A1"", ""QUEST_30501_DIALOG_02_A2""]"
599,30202,eugene,QUEST_30202_DIALOG_01,-2,left,"[""QUEST_30202_DIALOG_01_A1"", ""QUEST_30202_DIALOG_01_A2""]"
600,30202,eugene,QUEST_30202_DIALOG_02,-1,left,"[""QUEST_30202_DIALOG_02_A1"", ""QUEST_30202_DIALOG_02_A2""]"
601,30701,jenny,QUEST_30701_DIALOG_01,-3,left,"[""QUEST_30701_DIALOG_01_A1""]"
602,30701,jenny,QUEST_30701_DIALOG_02,-2,left,"[""QUEST_30701_DIALOG_02_A1"", ""QUEST_30701_DIALOG_02_A2""]"
603,30701,jenny,QUEST_30701_DIALOG_03,-1,left,"[""QUEST_30701_DIALOG_03_A1""]"
604,31001,jenny,QUEST_31001_DIALOG_01,-2,left,"[""QUEST_31001_DIALOG_01_A1"", ""QUEST_31001_DIALOG_01_A2""]"
605,31001,jenny,QUEST_31001_DIALOG_02,-1,left,"[""QUEST_31001_DIALOG_02_A1""]"
606,31002,jenny,QUEST_31002_DIALOG_01,-3,left,"[""QUEST_31002_DIALOG_01_A1"", ""QUEST_31002_DIALOG_01_A2""]"
607,31002,jenny,QUEST_31002_DIALOG_02,-2,left,"[""QUEST_31002_DIALOG_02_A1"", ""QUEST_31002_DIALOG_02_A2""]"
608,31002,jenny,QUEST_31002_DIALOG_03,-1,left,"[""QUEST_31002_DIALOG_03_A1"", ""QUEST_31002_DIALOG_03_A2""]"
609,30702,jenny,QUEST_30702_DIALOG_01,-3,left,"[""QUEST_30702_DIALOG_01_A1""]"
610,30702,jenny,QUEST_30702_DIALOG_02,-2,left,"[""QUEST_30702_DIALOG_02_A1"", ""QUEST_30702_DIALOG_02_A2""]"
611,30702,jenny,QUEST_30702_DIALOG_03,-1,left,"[""QUEST_30702_DIALOG_03_A1"", ""QUEST_30702_DIALOG_03_A2""]"
612,30801,eugene,QUEST_30801_DIALOG_01,-3,left,"[""QUEST_30801_DIALOG_01_A1"", ""QUEST_30801_DIALOG_01_A2""]"
613,30801,eugene,QUEST_30801_DIALOG_02,-2,left,"[""QUEST_30801_DIALOG_02_A1"", ""QUEST_30801_DIALOG_02_A2""]"
614,30801,eugene,QUEST_30801_DIALOG_03,-1,left,"[""QUEST_30801_DIALOG_03_A1"", ""QUEST_30801_DIALOG_03_A2""]"
615,30802,eugene,QUEST_30802_DIALOG_01,-3,left,"[""QUEST_30802_DIALOG_01_A1""]"
616,30802,eugene,QUEST_30802_DIALOG_02,-2,left,"[""QUEST_30802_DIALOG_02_A1"", ""QUEST_30802_DIALOG_02_A2""]"
617,30802,eugene,QUEST_30802_DIALOG_03,-1,left,"[""QUEST_30802_DIALOG_03_A1"", ""QUEST_30802_DIALOG_03_A2""]"
618,30803,eugene,QUEST_30803_DIALOG_01,-3,left,"[""QUEST_30803_DIALOG_01_A1"", ""QUEST_30803_DIALOG_01_A2""]"
619,30803,eugene,QUEST_30803_DIALOG_02,-2,left,"[""QUEST_30803_DIALOG_02_A1""]"
620,30803,eugene,QUEST_30803_DIALOG_03,-1,left,"[""QUEST_30803_DIALOG_03_A1"", ""QUEST_30803_DIALOG_03_A2""]"
621,30502,eugene,QUEST_30502_DIALOG_01,-3,left,"[""QUEST_30502_DIALOG_01_A1""]"
622,30502,eugene,QUEST_30502_DIALOG_02,-2,left,"[""QUEST_30502_DIALOG_02_A1"", ""QUEST_30502_DIALOG_02_A2""]"
623,30502,eugene,QUEST_30502_DIALOG_03,-1,left,"[""QUEST_30502_DIALOG_03_A1"", ""QUEST_30502_DIALOG_03_A2""]"
624,30602,sage,QUEST_30602_DIALOG_01,-3,left,"[""QUEST_30602_DIALOG_01_A1"", ""QUEST_30602_DIALOG_01_A2""]"
625,30602,sage,QUEST_30602_DIALOG_02,-2,left,"[""QUEST_30602_DIALOG_02_A1""]"
626,30602,sage,QUEST_30602_DIALOG_03,-1,left,"[""QUEST_30602_DIALOG_03_A1"", ""QUEST_30602_DIALOG_03_A2""]"
627,31103,sage,QUEST_31103_DIALOG_01,-3,left,"[""QUEST_31103_DIALOG_01_A1"", ""QUEST_31103_DIALOG_01_A2""]"
628,31103,sage,QUEST_31103_DIALOG_02,-2,left,"[""QUEST_31103_DIALOG_02_A1""]"
629,31103,sage,QUEST_31103_DIALOG_03,-1,left,"[""QUEST_31103_DIALOG_03_A1"", ""QUEST_31103_DIALOG_03_A2""]"
630,31102,sage,QUEST_31102_DIALOG_01,-1,left,"[""QUEST_31102_DIALOG_01_A1"", ""QUEST_31102_DIALOG_01_A2""]"
631,30901,sage,QUEST_30901_DIALOG_01,-3,left,"[""QUEST_30901_DIALOG_01_A1"", ""QUEST_30901_DIALOG_01_A2""]"
632,30901,sage,QUEST_30901_DIALOG_02,-2,left,"[""QUEST_30901_DIALOG_02_A1"", ""QUEST_30901_DIALOG_02_A2""]"
633,30901,sage,QUEST_30901_DIALOG_03,-1,left,"[""QUEST_30901_DIALOG_03_A1"", ""QUEST_30901_DIALOG_03_A2""]"
634,30902,sage,QUEST_30902_DIALOG_01,-2,left,"[""QUEST_30902_DIALOG_01_A1"", ""QUEST_30902_DIALOG_01_A2""]"
635,30902,sage,QUEST_30902_DIALOG_02,-1,left,"[""QUEST_30902_DIALOG_02_A1""]"
636,30903,sage,QUEST_30903_DIALOG_01,-3,left,"[""QUEST_30903_DIALOG_01_A1""]"
637,30903,sage,QUEST_30903_DIALOG_02,-2,left,"[""QUEST_30903_DIALOG_02_A1"", ""QUEST_30903_DIALOG_02_A2""]"
