id,asset,readOnly,cost,config,_comment
1,,1,,,харда (стармани)
2,,1,,,опыт игрока
3,gold,1,,,золото игрока
4,key,1,,,ключи
5,,1,,,рейдовые билеты
100,obj_d1_flag_Mexico,0,"{""item"": [{""id"": 1010, ""amount"": 1}, {""id"": 1008, ""amount"": 1}], ""gold"": 100}",,значок с мекс. флагом
101,obj_d1_flag_Italy,0,"{""item"": [{""id"": 1011, ""amount"": 1}, {""id"": 1012, ""amount"": 1}], ""gold"": 100}",,значок с ит. флагом
102,obj_d1_flag_France,0,"{""item"": [{""id"": 1013, ""amount"": 1},{""id"": 1014, ""amount"": 1}], ""gold"": 100}",,значок с фр. флагом
103,obj_d1_blade,0,"{""item"": [{""id"": 1015, ""amount"": 8}], ""gold"": 100}",,лезвие газонокосилки
104,obj_d1_pillow,0,"{""item"": [{""id"": 1016, ""amount"": 2}], ""gold"": 100}",,устаревшая подушка
105,,0,"{""item"": [{""id"": 1021, ""amount"": 5}], ""gold"": 100}",,Мозаика
106,,0,"{""item"": [{""id"": 107, ""amount"": 1}, {""id"": 108, ""amount"": 2}], ""gold"": 100}",,Супер-сложный предмет
107,,0,"{""item"": [{""id"": 109, ""amount"": 2}, {""id"": 110, ""amount"": 2}, {""id"": 1025, ""amount"": 1}], ""gold"": 100}",,Очень сложный предмет-1
108,,0,"{""item"": [{""id"": 111, ""amount"": 4}, {""id"": 1026, ""amount"": 4}], ""gold"": 100}",,Очень сложный предмет-2
109,,0,"{""item"": [{""id"": 1022, ""amount"": 5}], ""gold"": 100}",,Мозаика-1-1
110,,0,"{""item"": [{""id"": 1023, ""amount"": 2}, {""id"": 1024, ""amount"": 2}], ""gold"": 100}",,Сложный предмет-1-2
111,,0,"{""item"": [{""id"": 1027, ""amount"": 3}], ""gold"": 100}",,Сложный предмет-2-1
112,obj_d1_basket,0,"{""item"": [{""id"": 1048, ""amount"": 5}], ""gold"": 2000}",,корзина овощей
113,,0,"{""item"": [{""id"": 1000,""amount"": 1}, {""id"": 1001, ""amount"": 3}, { ""id"": 1002, ""amount"": 3}],""gold"": 100}",,праздничный стол
114,obj_d2_nitkiIgolka,0,"{""item"": [{""id"": 1036, ""amount"": 1}, {""id"": 1037, ""amount"": 1}], ""gold"": 500}",,швейный набор
115,obj_d2_osheinikBant,0,"{""item"": [{""id"": 1038, ""amount"": 1}, {""id"": 1039, ""amount"": 1}], ""gold"": 1000}",,Ошейник с бабочкой
116,obj_d3_aptechka,0,"{""item"": [{""id"": 1042, ""amount"": 10},{""id"": 1043, ""amount"": 3}], ""gold"": 5000}",,Аптечка
117,obj_d3_lightfoto,0,"{""item"": [{""id"": 1044, ""amount"": 5}, {""id"": 1045, ""amount"": 1}, {""id"": 1046, ""amount"": 1}], ""gold"": 4000}",,Фотоаппарат со вспышкой
