id,chapterId,main,requirements,recipes,fixedReward,garbageCoeff,possibleReward,cost,config,_comment
1,1,,"","[{ ""recipe"": 4, ""level"": 1 }]","{""gold"":50}",0.6,"[{""item"": 10000, ""prob"":0.1},{""item"": 10001, ""prob"":0.1},{""item"": 10002, ""prob"":0.1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","{""action"": 1, ""param"": ""duration"", ""value"": 1500}",Завтрак 
2,1,,"{""region"": [{""id"": 1, ""status"": 1}]}","[{ ""recipe"": 4, ""level"": 1 },{ ""recipe"": 7, ""level"": 1}]","{""gold"":100}",0.6,"[{""item"": 1030, ""prob"": 1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Проверка
3,1,,"{""region"": [{""id"": 2, ""status"": 1}]}","[{ ""recipe"": 5, ""level"": 1 },{ ""recipe"": 7, ""level"": 1 },{ ""recipe"": 4, ""level"": 2 }]","{""gold"":150}",0.5,"[{""item"": 1004, ""prob"": 1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Главное блюдо
4,1,,,"[{ ""recipe"": 6, ""level"": 1},{ ""recipe"": 4, ""level"": 2 },{ ""recipe"": 5, ""level"": 2 }]","{""gold"":200}",0.5,"[{""item"": 1007, ""prob"": 1},{""item"": 1009, ""prob"": 0.5},{""item"": 1008, ""prob"": 0.33}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Сбор овощей
5,1,,,"[{ ""recipe"": 4, ""level"": 2 },{ ""recipe"": 5, ""level"": 2 },{ ""recipe"": 6, ""level"": 2 }]","{""gold"":250}",0.5,"[{""item"": 1005, ""prob"": 1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Поход к мяснику
6,1,,,"[{ ""recipe"": 5, ""level"": 2 },{ ""recipe"": 4, ""level"": 3 },{ ""recipe"": 1, ""level"": 1 }]","{""gold"":300}",0.5,"[{""item"": 1019, ""prob"": 1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Тренировка ребрышек
7,1,,,"[{ ""recipe"": 7, ""level"": 1 },{ ""recipe"": 3, ""level"": 1 },{ ""recipe"": 5, ""level"": 3 }]","{""gold"":350}",0.5,"[{""item"": 1003, ""prob"": 0.5}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Готовим соус
8,1,,,"[{ ""recipe"": 7, ""level"": 2 },{ ""recipe"": 4, ""level"": 3 },{ ""recipe"": 5, ""level"": 4 }]","{""gold"":400}",0.5,"[{""item"": 1031, ""prob"": 1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Важный гость
9,1,,,"[{ ""recipe"": 2, ""level"": 1 },{ ""recipe"": 5, ""level"": 4 },{ ""recipe"": 7, ""level"": 3 }]","{""gold"":450}",0.5,"[{""item"": 1000, ""prob"": 0.33},{""item"": 1001, ""prob"": 1},{""item"": 1002, ""prob"": 1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Практика
10,1,,,"[{ ""recipe"": 4, ""level"": 3 },{ ""recipe"": 7, ""level"": 3 },{ ""recipe"": 5, ""level"": 5 }]","{""gold"":500}",0.5,"[{""item"": 1029, ""prob"": 1}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Праздник
11,2,,"","[{ ""recipe"": 4, ""level"": 3 }]","{""gold"":50}",0.5,"[{""item"": 1013, ""prob"": 0.165},{""item"": 1014, ""prob"": 0.33}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Снова завтрак
12,2,,"{""region"": [{""id"": 2, ""status"": 1}]}","[{ ""recipe"": 5, ""level"": 3 }]","{""gold"":50}",0.5,"[{""item"": 1011, ""prob"": 0.165},{""item"": 1012, ""prob"": 0.33}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Найти поваров 1
13,2,,"{""region"": [{""id"": 3, ""status"": 1}]}","[{ ""recipe"": 7, ""level"": 3 }]","{""gold"":50}",0.5,"[{""item"": 1010, ""prob"": 0.165},{""item"": 1008, ""prob"": 0.33}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Найти поваров 2
14,2,,"{""region"": [{""id"": 4, ""status"": 1}]}","[{ ""recipe"": 7, ""level"": 3 }]","{""gold"":50}",0.5,"[{""item"": 1015, ""prob"": 0.5}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Лужайка мечты
15,2,,"{""region"": [{""id"": 5, ""status"": 1}]}","[{ ""recipe"": 4, ""level"": 3 }]","{""gold"":50}",0.5,"[{""item"": 1016, ""prob"": 0.25}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Сладких снов
16,2,,"{""region"": [{""id"": 6, ""status"": 1}]}","[{ ""recipe"": 5, ""level"": 3 }]","{""gold"":50}",0.5,"[{""item"": 112, ""prob"": 0.5}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Вредители 
17,2,,"{""region"": [{""id"": 7, ""status"": 1}]}","[{ ""recipe"": 2, ""level"": 1 }]","{""gold"":50}",0.5,[],"{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Курица на вертеле
18,2,,"{""region"": [{""id"": 8, ""status"": 1}]}","[{ ""recipe"": 1, ""level"": 1 }]","{""gold"":50}",0.5,[],"{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Буррито
19,2,,"{""region"": [{""id"": 9, ""status"": 1}]}","[{ ""recipe"": 3, ""level"": 1 }]","{""gold"":50}",0.5,[],"{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Пицца
20,2,,"{""region"": [{""id"": 10, ""status"": 1}]}","[ { ""recipe"": 1, ""level"": 1 }]","{""gold"":50}",0.5,[],"{""refillable"": [{""id"" : 1, ""amount"" : 6}]}",,Фоторобот
21,1,,"","[{ ""recipe"": 1, ""level"": 3 },{ ""recipe"": 2, ""level"": 4 },{ ""recipe"": 3, ""level"": 5 }]","{""gold"":5}",0.6,"[{""item"": 10003, ""prob"":0.1},{""item"": 1016, ""prob"":0.3},{""item"": 1033, ""prob"":0.3}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
22,1,,"","[{ ""recipe"": 4, ""level"": 3 },{ ""recipe"": 5, ""level"": 4 },{ ""recipe"": 6, ""level"": 5 }]","{""gold"":5}",0.6,"[{""item"": 1002, ""prob"":0.3},{""item"": 1037, ""prob"":0.3},{""item"": 1044, ""prob"":0.2}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
23,1,,"","[{ ""recipe"": 7, ""level"": 3 },{ ""recipe"": 1, ""level"": 4 },{ ""recipe"": 2, ""level"": 5 }]","{""gold"":5}",0.6,"[{""item"": 1045, ""prob"":0.3},{""item"": 1034, ""prob"":0.3},{""item"": 1035, ""prob"":0.3}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
24,1,,"{""region"": [{""id"": 4, ""status"": 1}]}","[{ ""recipe"": 3, ""level"": 3 },{ ""recipe"": 4, ""level"": 4 },{ ""recipe"": 5, ""level"": 5 }]","{""gold"":10}",0.6,"[{""item"": 1038, ""prob"":0.3},{""item"": 1036, ""prob"":0.3},{""item"": 1039, ""prob"":0.3}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
25,1,,"{""region"": [{""id"": 5, ""status"": 1}]}","[{ ""recipe"": 6, ""level"": 3 },{ ""recipe"": 7, ""level"": 4 },{ ""recipe"": 1, ""level"": 5 }]","{""gold"":10}",0.6,"[{""item"": 10004, ""prob"":0.1},{""item"": 1003, ""prob"":0.3},{""item"": 1046, ""prob"":0.3}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
26,1,,"{""region"": [{""id"": 6, ""status"": 1}]}","[{ ""recipe"": 2, ""level"": 3 },{ ""recipe"": 3, ""level"": 4 },{ ""recipe"": 4, ""level"": 5 }]","{""gold"":10}",0.6,"[{""item"": 1048, ""prob"":0.25},{""item"": 1050, ""prob"":0.3},{""item"": 1017, ""prob"":0.3}]","{""refillable"": [{""id"" : 1, ""amount"" : 6}]}","",Завтрак 
