id,chapterId,questChain,requirements,cost,reward,_comment
10101,3,100,{},"{""item"" : [{ ""id"" : 1028, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10003, ""amount"" : 5}]}",Юбилей
10102,3,100,"{""quest"": [{""id"": 10101, ""status"": 3}]}","{""item"" : [{ ""id"" : 1030, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10003, ""amount"" : 5}]}",Проверка
10103,3,100,"{""quest"": [{""id"": 10102, ""status"": 3}]}","{""item"" : [{ ""id"" : 1004, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10004, ""amount"" : 10}]}",Главное блюдо
10104,3,100,"{""quest"": [{""id"": 10103, ""status"": 3}]}","{""item"" : [{ ""id"" : 112, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10005, ""amount"" : 10}]}",Сбор овощей
10105,3,100,"{""quest"": [{""id"": 10104, ""status"": 3}]}","{""item"" : [{ ""id"" : 1005, ""amount"" : 2}]}","{""item"" : [{ ""id"" : 10003, ""amount"" : 20}]}",Поход к мяснику
10106,3,100,"{""quest"": [{""id"": 10105, ""status"": 3}]}","{""item"" : [{ ""id"" : 1019, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10004, ""amount"" : 20}]}",Тренировка ребрышек
10107,3,100,"{""quest"": [{""id"": 10106, ""status"": 3}]}","{""item"" : [{ ""id"" : 1003, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10006, ""amount"" : 10}]}",Готовим соус
10108,3,100,"{""quest"": [{""id"": 10107, ""status"": 3}]}","{""item"" : [{ ""id"" : 1019, ""amount"" : 2}]}","{""item"" : [{ ""id"" : 10004, ""amount"" : 30}]}",Улучшение ребрышек
10109,3,100,"{""quest"": [{""id"": 10108, ""status"": 3}]}","{""item"" : [{ ""id"" : 1031, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10006, ""amount"" : 20}]}",Важный гость
10110,3,100,"{""quest"": [{""id"": 10109, ""status"": 3}]}","{""item"" : [{ ""id"" : 113, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10004, ""amount"" : 40}]}",Практика 
10111,3,100,"{""quest"": [{""id"": 10110, ""status"": 3}]}","{""item"" : [{ ""id"" : 1029, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10003, ""amount"" : 30}]}",Праздник
20101,2,100,{},"{""mission"": [{""id"": 11, ""amount"": 1}]}","{""item"" : [{ ""id"" : 10003, ""amount"" : 10}]}",Поступить в академию 1
20102,2,100,"{""mission"": [{""id"": 1, ""amount"": 1}]}","{""quest"": [{""id"": 20601, ""status"": 3},{""id"": 20701, ""status"": 3},{""id"": 20901, ""status"": 3}]}",{},Поступить в академию 2
20103,2,100,"{""mission"": [{""id"": 1, ""amount"": 1}]}","{""quest"": [{""id"": 20604, ""status"": 3}]}","{""item"" : [{ ""id"" : 10000, ""amount"" : 30}]}",Поступить в академию 3
20104,2,100,"{""quest"": [{""id"": 20103, ""status"": 3}]}","{""mission"": [{""id"": 20, ""amount"": 1}]}","{""item"" : [{ ""id"" : 10001, ""amount"" : 30}]}",Поступить в академию 4
20105,2,100,"{""quest"": [{""id"": 20104, ""status"": 3}]}",{},"{""item"" : [{ ""id"" : 10002, ""amount"" : 30}]}",Поступить в академию 5
20201,2,100,"{""quest"": [{""id"": 20101, ""status"": 3}]}","{""item"" : [{ ""id"" : 100, ""amount"" : 1},{ ""id"" : 101, ""amount"" : 1},{ ""id"" : 102, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10006, ""amount"" : 10}]}",Найти поваров 1
20301,2,100,"{""quest"": [{""id"": 20102, ""status"": 2}]}","{""item"" : [{ ""id"" : 103, ""amount"" : 1}]}",{},Лужайка мечты 1
20401,2,100,"{""quest"": [{""id"": 20102, ""status"": 2}]}","{""item"" : [{ ""id"" : 104, ""amount"" : 1}]}",{},Сладких снов 1
20501,2,100,"{""quest"": [{""id"": 20102, ""status"": 2}]}","{""item"" : [{ ""id"" : 112, ""amount"" : 10}]}",{},Вредители 1
20601,2,100,"{""quest"": [{""id"": 20501, ""status"": 3}]}","{""mission"": [{""id"": 17, ""amount"": 1}]}","{""item"" : [{ ""id"" : 10001, ""amount"" : 10}]}",Впечатлить Ф.шефа 1
20602,2,100,"{""quest"": [{""id"": 20902, ""status"": 3}]}","{""quest"": [{""id"": 20603, ""status"": 3}]}","{""item"" : [{ ""id"" : 10001, ""amount"" : 20}]}",Впечатлить Ф.шефа 2
20603,2,100,"{""quest"": [{""id"": 20602, ""status"": 2}]}","{""mission"": [{""id"": 20, ""amount"": 1}]}","{""item"" : [{ ""id"" : 10000, ""amount"" : 10}]}",Впечатлить Ф.шефа 3
20604,2,100,"{""quest"": [{""id"": 20602, ""status"": 3}]}","{""mission"": [{""id"": 17, ""amount"": 1}]}","{""item"" : [{ ""id"" : 10001, ""amount"" : 10}]}",Впечатлить Ф.шефа 4
20701,2,100,"{""quest"": [{""id"": 20601, ""status"": 3}]}","{""mission"": [{""id"": 18, ""amount"": 1}]}","{""item"" : [{ ""id"" : 10000, ""amount"" : 10}]}",Впечатлить М.шефа 1
20702,2,100,"{""quest"": [{""id"": 20103, ""status"": 2}]}","{""item"" : [{ ""id"" : 1018, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10000, ""amount"" : 10}]}",Впечатлить М.шефа 2
20703,2,100,"{""quest"": [{""id"": 20702, ""status"": 3}]}","{""item"" : [{ ""id"" : 1008, ""amount"" : 3}]}","{""item"" : [{ ""id"" : 10000, ""amount"" : 10}]}",Впечатлить М.шефа 3
20704,2,100,"{""quest"": [{""id"": 20703, ""status"": 3}]}","{""mission"": [{""id"": 19, ""amount"": 1}]}","{""item"" : [{ ""id"" : 10002, ""amount"" : 20}]}",Впечатлить М.шефа 4
20801,2,100,"{""quest"": [{""id"": 20701, ""status"": 3}]}","{""item"" : [{ ""id"" : 1017, ""amount"" : 1}]}",{},Спящий красавец 1
20802,2,100,"{""quest"": [{""id"": 20801, ""status"": 2}]}","{""item"" : [{ ""id"" : 102, ""amount"" : 3}]}","{""item"" : [{ ""id"" : 10003, ""amount"" : 10}]}",Спящий красавец 2
20803,2,100,"{""quest"": [{""id"": 20802, ""status"": 3}]}","{""item"" : [{ ""id"" : 112, ""amount"" : 5}]}","{""item"" : [{ ""id"" : 1017, ""amount"" : 1}]}",Спящий красавец 3
20901,2,100,"{""quest"": [{""id"": 20801, ""status"": 3}]}","{""mission"": [{""id"": 19, ""amount"": 1}]}","{""item"" : [{ ""id"" : 10002, ""amount"" : 10}]}",Впечатлить И.шефа 1
20902,2,100,"{""quest"": [{""id"": 20704, ""status"": 3}]}","{""item"" : [{ ""id"" : 1012, ""amount"" : 1}]}","{""item"" : [{ ""id"" : 10002, ""amount"" : 10}]}",Впечатлить И.шефа 2
30101,1,1,{},"{""item"" : [{ ""id"" : 1016, ""amount"" : 1}]}","{""gold"":50, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Дженни-1
30102,1,1,"{""quest"": [{""id"": 30101, ""status"": 3}]}","{""item"" : [{ ""id"" : 1002, ""amount"" : 2},{ ""id"" : 1045, ""amount"" : 2}]}","{""gold"":125, ""refillable"": [{ ""id"": 1,""amount"": 50}], ""item"" : [{ ""id"" : 4, ""amount"" : 1}]}",Дженни-1
30201,1,2,"{""quest"": [{""id"": 30101, ""status"": 3}]}","{""item"" : [{ ""id"" : 1033, ""amount"" : 1}]}","{""gold"":50, ""refillable"": [{ ""id"": 1,""amount"": 50}]}",Юджин-1
