ident,lang,text,lastUpdateDate,description
QUEST_30902_DIALOG_01,ru,"Obb-ha-dee hoon, friend. Materials you've brought are so good that clothes almost make themselves! ",2017-02-07 12:04:05,
QUEST_30902_DIALOG_01_A1,ru,Glad I could help! ,2017-02-07 12:04:05,
QUEST_30902_DIALOG_01_A2,ru,"Shukriyaa, friend. See? I can do that too! ",2017-02-07 12:04:05,
QUEST_30902_DIALOG_02,ru,"They don't look that good in pictures, though... I'm afraid that can skew opinions even before the show starts. ",2017-02-07 12:04:05,
QUEST_30902_DIALOG_02_A1,ru,Don't worry! I have a trick I learned from one girl and her dog... You just need better lighting! ,2017-02-07 12:04:05,
QUEST_30903_DIALOG_01,ru,"I'm so thankful, friend. My participation in the show is confirmed! ",2017-02-07 12:05:20,
QUEST_30903_DIALOG_01_A1,ru,Wheee! Told ya! ,2017-02-07 12:05:20,
QUEST_30903_DIALOG_02,ru,"They'll have a banquet, and I offered to deliver food myself, so that it matches the clothes. ",2017-02-07 12:05:20,
QUEST_30903_DIALOG_02_A1,ru,"Good thinking. Everything in harmony, right? ",2017-02-07 12:05:20,
QUEST_30903_DIALOG_02_A2,ru,Do you need help? ,2017-02-07 12:05:20,
QUEST_30903_DIALOG_03,ru,"Yes.Can you help me, please? I'm so nervous! ",2017-02-07 12:05:20,
QUEST_30903_DIALOG_03_A1,ru,You don't have to ask! ,2017-02-07 12:05:20,
QUEST_30903_DIALOG_03_A2,ru,"Sure! I know all local farmers by face, anyway... ",2017-02-07 12:05:20,
QUEST_31001_DIALOG_01,ru,"So, um... I googled France, and it turns out that thingies I asked you for were Mexican. ",2017-02-07 12:14:31,
QUEST_31001_DIALOG_01_A1,ru,"They are ease to mix up, yes. ",2017-02-07 12:14:31,
QUEST_31001_DIALOG_01_A2,ru,"That was an honest mistake, don't blame yourself! ",2017-02-07 12:14:31,
QUEST_31001_DIALOG_02,ru,"Oh, thank you... can you bring me another flag-badge? And that tiny funny boat. This time it's french for sure, I checked! ",2017-02-07 12:14:31,
QUEST_31001_DIALOG_02_A1,ru,I'll be right back! ,2017-02-07 12:14:31,
QUEST_31002_DIALOG_01,ru,That photoset was a bomb! Everyone on the internet liked my little french doggo! They said he's magnified. ,2017-02-07 12:15:49,
QUEST_31002_DIALOG_01_A1,ru,Glad to help! ,2017-02-07 12:15:49,
QUEST_31002_DIALOG_01_A2,ru,You mean magnifique? ,2017-02-07 12:15:49,
QUEST_31002_DIALOG_02,ru,"I wonder, will I be able to survive there? Do they... you know... eat food? ",2017-02-07 12:15:49,
QUEST_31002_DIALOG_02_A1,ru,Care to find out? ,2017-02-07 12:15:49,
QUEST_31002_DIALOG_02_A2,ru,You bet! France is famous for its cuisine! ,2017-02-07 12:15:49,
QUEST_31002_DIALOG_03,ru,Awesome! Can you help me arrange a french breakfast? ,2017-02-07 12:15:49,
QUEST_31002_DIALOG_03_A1,ru,With pleasure! ,2017-02-07 12:15:49,
QUEST_31002_DIALOG_03_A2,ru,Tacos coming right up... Just kidding! ,2017-02-07 12:15:49,
QUEST_31003_DIALOG_01,ru,Oh hello! I'm so glaaad to see you again! ,2017-02-07 12:17:37,
QUEST_31003_DIALOG_01_A1,ru,How's your preparing for the trip going? ,2017-02-07 12:17:37,
QUEST_31003_DIALOG_01_A2,ru,We've just seen each other... Did something happen? ,2017-02-07 12:17:37,
QUEST_31003_DIALOG_02,ru,"I've been wondering, what if it'll be too cold for Squidger on a plane? He's never flown before, you know... ",2017-02-07 12:17:37,
QUEST_31003_DIALOG_02_A1,ru,"He's small enough to fly in the cabin... But it can be really chilly there, too. ",2017-02-07 12:17:37,
QUEST_31003_DIALOG_03,ru,Will you help me make some clothes for him? Pretty please? ,2017-02-07 12:17:37,
QUEST_31003_DIALOG_03_A1,ru,"All right, all right. ",2017-02-07 12:17:37,
QUEST_31003_DIALOG_03_A2,ru,"Yeah, I know a guy who can show us how to sew... ",2017-02-07 12:17:37,
QUEST_31101_DIALOG_01,ru,Thank you so much! Everything looks so delicious I'm struggling not to eat it myself. ,2017-02-07 12:50:41,
QUEST_31101_DIALOG_01_A1,ru,"You're right, I never thought veggies can look so good... ",2017-02-07 12:50:41,
QUEST_31101_DIALOG_01_A2,ru,Keep yourself together! Think about the show! ,2017-02-07 12:50:41,
QUEST_31101_DIALOG_02,ru,"Oh, I talked to my friend Eugene... He said a lot of fresh vegetables could upset stomach of someone who's not quite used to eating them. ",2017-02-07 12:50:41,
QUEST_31101_DIALOG_02_A1,ru,"That walking, talking encyclopedy... But yeah, he could be right. ",2017-02-07 12:50:41,
QUEST_31101_DIALOG_02_A2,ru,What do we do then? ,2017-02-07 12:50:41,
QUEST_31101_DIALOG_03,ru,"I'm afraid it's better to stack some medicine, just in case. But let's look for natural ones, please? ",2017-02-07 12:50:41,
QUEST_31101_DIALOG_03_A1,ru,I think I've seen something herbal in a nearby drugstore. ,2017-02-07 12:50:41,
QUEST_31101_DIALOG_03_A2,ru,"You don't believe in homeopathy, do you? ",2017-02-07 12:50:41,
QUEST_31102_DIALOG_01,ru,"We did a lot of good today, achchha aadamee. A lot of energy well-spent. Now let's replenish it with some delicious vegetables, shall we? ",2016-12-23 10:48:11,
QUEST_31102_DIALOG_01_A1,ru,I'm so exhausted that I'm ready to eat them with the basket. ,2016-12-23 10:48:11,
QUEST_31102_DIALOG_01_A2,ru,-munch-yhweah-munch-crunch! ,2016-12-23 10:48:11,
QUEST_31103_DIALOG_01,ru,"Dhanyavaad, friend. Wasn't that good? Did you like it? ",2017-02-07 12:53:06,
QUEST_31103_DIALOG_01_A1,ru,A lot. ,2017-02-07 12:53:06,
QUEST_31103_DIALOG_01_A2,ru,I feel relaxed... And energized! And relaxed... But energized! ,2017-02-07 12:53:06,
