id,recipeId,level,actions,config,_comment
1,1,1,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 17,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 17,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 17,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 17,""dish"": 9}]}]","",Буррито
2,1,2,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 2,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 2,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 2,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 2,""dish"": 9}]}]","",Буррито
3,1,3,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 15,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 15,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 15,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 15,""dish"": 9}]}]","",Буррито
4,1,4,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 16,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 16,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 16,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 16,""dish"": 9}]}]","",Буррито
5,1,5,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 22,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 22,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 22,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 22,""dish"": 9}]}]","",Буррито
6,1,6,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 37,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 37,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 37,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 37,""dish"": 9}]}]","",Буррито
7,1,7,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 38,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 38,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 38,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 38,""dish"": 9}]}]","",Буррито
8,1,8,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 39,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 39,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 39,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 39,""dish"": 9}]}]","",Буррито
9,1,9,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 40,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 40,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 40,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 40,""dish"": 9}]}]","",Буррито
10,1,10,"[{""ingridient"": 1,""count"": 1,""steps"": [{""id"": 7},{""id"": 41,""dish"": 7}]},{""ingridient"": 2,""count"": 1,""steps"": [{""id"": 7},{""id"": 41,""dish"": 4}]},{""ingridient"": 4,""count"": 2,""steps"": [{""id"": 7},{""id"": 41,""dish"": 5}]},{""ingridient"": 3,""count"": 1,""steps"": [{""id"": 7},{""id"": 41,""dish"": 9}]}]","",Буррито
